Study name,Accession,Primary GPA,DAC,External Data Source,PI,Registration Status��
Mayo-Perlegen LEAPS (Linked Efforts to Accelerate Parkinson's Solutions) Collaboration,phs000048.v1.p1,Sharna Tingle,NHGRI,,Demetrius Maraganore,Released
GENEVA Nurses' Health Study and Health Professionals' Follow-up Study Genes and Environment Initiatives in Type 2 Diabetes,phs000091.v2.p1,Sharna Tingle,NHGRI,,Frank Hu,Released
GENEVA Study of Addiction: Genetics and Environment (SAGE),phs000092.v1.p1,Sharna Tingle,NHGRI,,Laura Bierut,Released
GENEVA GWAS of Lung Cancer and Smoking,phs000093.v2.p2,Geoffrey Tobias,NCI DAC,,Neil Caporaso,Released
GENEVA GWA mapping: Maternal Metabolism-Birth Weight Interactions,phs000096.v5,Sharna Tingle,NHGRI,,William Lowe,Completed by GPA
GENEVA GWAS of Prematurity and its Complications - European Ancestry,phs000103.v1.p1,Sharna Tingle,NHGRI,,Jeffrey Murray,Released
Genome-wide Association Study of Neuroblastoma,phs000124.v3.p1,Emilie Charlisse Caga-Anan,NCI DAC,,John Maris,Completed by GPA
Tumor Sequencing Project (TSP),phs000144.v1.p1,Sharna Tingle,NHGRI,,Eric Lander,Released
POPRES: Population Reference Sample,phs000145.v4.p2,Sharna Tingle,NHGRI,,Gsk Gsk,Released
CGEMS Breast Cancer,phs000147.v3.p1,Geoffrey Tobias,NCI DAC,,Stephen Chanock,Released
AML Sequencing Project,phs000159.v15.p5,Sharna Tingle,NHGRI,,Timothy Ley,Released
eMERGE Genome Wide Association Study of Cataract and Low HDL cholesterol,phs000170.v2.p1,Sharna Tingle,NHGRI,,Catherine McCarty,Released
�TCGA - The Cancer Genome Atlas,phs000178.v12,Freddie Pruitt,NCI DAC,Yes,Eric Lander,Completed by GPA
High Density SNP Association Analysis of Melanoma: Case-Control and Outcomes Investigation,phs000187.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Christopher Amos,Released
eMERGE Genome Wide Association Study of Electrocardiographic QRS Duration,phs000188.v1.p1,Sharna Tingle,NHGRI,,Dan Roden,Released
Acquired Copy Number Alterations in Adult Acute Myeloid Leukemia Genomes,phs000201.v2.p1,Ian Fingerman,NCI DAC,,Timothy Ley,Released
eMERGE Whole Genome Association Study of Peripheral Arterial Disease,phs000203.v1.p1,Sharna Tingle,NHGRI,,Christopher Chute,Released
CGEMS Pancreatic Cancer (PanScan),phs000206.v6.p3,Geoffrey Tobias,NCI DAC,,Rachael Stolzenberg-Solomon,Released
CGEMS Prostate Cancer,phs000207.v1.p1,Geoffrey Tobias,NCI DAC,,Stephen Chanock,Released
�TARGET,phs000218.v26.p8,Freddie Pruitt,NCI DAC,Yes,Liming Yang,Released
PAGE Multi-Ethnic Cohort Study,phs000220.v2.p2,Sharna Tingle,NHGRI,Yes,Loic Le Marchand,Released
Resource Dataset for the Human Microbiome Project (HMP),phs000228.v4.p1,Sharna Tingle,NHGRI,,Mark Wolff,Released
eMERGE Genome Wide Association Study of Dementia,phs000234.v2.p2,Sharna Tingle,NHGRI,,Eric Larson,Released
�The Cancer Genome Characterization Initiative,phs000235.v21.p6,Freddie Pruitt,NCI DAC,Yes,Liming Yang,Released
eMERGE Genome Wide Association Study of Type 2 Diabetes Mellitus,phs000237.v1.p1,Sharna Tingle,NHGRI,,Rex Chisholm,Released
Whole Genome Sequencing of Triple Negative Breast Cancer,phs000245.v1.p1,Sharna Tingle,NHGRI,,Richard Wilson,Released
Hepatitis C Pathogenesis and the Human Genome,phs000248.v1.p1,Jonathan Pollock,JAAMH,,David Thomas,Released
Foregut microbiome in development of esophageal adenocarcinoma,phs000260.v4.p2,Ian Fingerman,NCI DAC,,Zhiheng Pei,Released
Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency,phs000266.v4.p1,Asur Srinath,NIAMS,,Julie Segre,Released
Ciliopathies Exome Sequencing,phs000288.v2.p2,Sharna Tingle,NHGRI,,Eric Lander,Released
GENEVA GWAS of Venous Thrombosis,phs000289.v2.p1,Sharna Tingle,NHGRI,,John Heit,Released
GENEVA Genetic Risk to Stroke in Smokers and Non-Smokers in Multiple Ethnic Groups,phs000292.v2,Sharna Tingle,NHGRI,,Braxton Mitchell,Completed by GPA
Next Generation Mendelian Genetics: Kabuki Syndrome,phs000295.v2.p1,Sharna Tingle,NHGRI,,Michael Bamshad,Released
eMERGE Resistant Hypertension,phs000297.v1.p1,Sharna Tingle,NHGRI,,Dan Roden,Released
Genentech whole-genome sequencing of a non-small cell lung carcinoma,phs000299.v2.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Zemin Zhang,Released
GENEVA Prostate Cancer,phs000306.v4.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Christopher Haiman,Released
GENEVA Glaucoma Genes Environment Initiative Study (GLAUGEN),phs000308.v1.p1,Shaojian Gao,NHGRI,,Louis Pasquale,Released
Discovery of Non-ETS Gene Fusions in Human Prostate Cancer using Next Generation RNA Sequencing,phs000310.v1.p1,Sharna Tingle,NHGRI,,Mark Rubin,Released
FusionSeq: a Modular Framework for Finding Gene Fusions by Analyzing Paired-End RNA Sequencing Data,phs000311.v1.p1,Sharna Tingle,NHGRI,,Mark Rubin,Released
Genome-wide Analysis of Lymphoma,phs000328.v3.p1,Freddie Pruitt,NCI DAC,,Riccardo Dalla-Favera,Released
Evolution of human BCR-ABL1 leukemia-initiating cells,phs000329.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Charles Mullighan,Completed by GPA
Characterization of complex chromosomal aberrations in primary prostate cancer genomes,phs000330.v1.p1,Sharna Tingle,NHGRI,,Mark Rubin,Released
Genome-Wide Association Study of Lung Cancer Risk,phs000336.v1.p1,Geoffrey Tobias,NCI DAC,,Neil Caporaso,Released
Defining the genetic basis of human respiratory chain disease,phs000339.v2.p1,Sharna Tingle,NHGRI,,Vamsi Mootha,Released
CREST: an algorithm that directly maps structural variants for next-generation sequencing data,phs000340.v3.p1,Freddie Pruitt,NCI DAC,Yes,Charles Mullighan,Released
St. Jude Children's Research Hospital - Washington University Pediatric Cancer Genome Project: Whole Genome Sequencing of Childhood Hypodiploid Acute Lymphoblastic Leukemia,phs000341.v2.p1,Freddie Pruitt,NCI DAC,Yes,Charles Mullighan,Released
GARNET Pharmacogenomic Studies in the Vitamin Intervention for Stroke Prevention (VISP) trial,phs000343.v4.p1,Sharna Tingle,NHGRI,,Bradford Worrall,Released
Genome-Wide Association Study for Bladder Cancer Risk,phs000346.v2.p2,Geoffrey Tobias,NCI DAC,,Nathaniel Rothman,Released
Towards a Genomic Understanding of Myeloma,phs000348.v2.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Todd Golub,Released
CIDR Whole-exome sequencing in families with aggressive prostate cancer,phs000350.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Janet Stanford,Released
Genome-Wide Association Study of Renal Cell Carcinoma,phs000351.v1.p1,Geoffrey Tobias,NCI DAC,,Mark Purdue,Released
St. Jude Children's Research Hospital - Washington University Pediatric Cancer Genome Project(PCGP): Whole Genome Sequencing of Childhood Retinoblastoma,phs000352.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Michael Dyer,Released
GENEVA GWAS of Prematurity and its Complications - African Ancestry,phs000353.v1.p1,Sharna Tingle,NHGRI,,Jeffrey Murray,Released
"Population Architecture using Genomics and Epidemiology, summary data (PAGE-summary)",phs000356.v2.p1,Sharna Tingle,NHGRI,,Tara Matise,Released
eMERGE-I Genome Wide Association Studies of Network Phenotypes,phs000360.v3.p1,Sharna Tingle,NHGRI,,Rex Chisholm,Released
Genome-Wide Association Study in Upper Gastrointestinal Cancers (Asian),phs000361.v1.p1,Geoffrey Tobias,NCI DAC,,Philip Taylor,Released
Genome-wide Analysis of Chronic Lymphocytic Leukemia,phs000364.v2.p1,Ian Fingerman,NCI DAC,,Riccardo Dalla-Favera,Released
Genomic Sequencing of Breast Carcinoma,phs000369.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Matthew Meyerson,Released
Genomic Sequencing of Head and Neck Cancer,phs000370.v2.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Levi Garraway,Released
Genomic Sequencing of Colorectal Adenocarcinomas,phs000374.v1.p1,Sharna Tingle,NHGRI,,Adam Bass,Released
eMERGE Genome Wide Association Studies of obesity (metabochip),phs000380.v1.p1,Sharna Tingle,NHGRI,,David Ledbetter,Released
