PMID,SRA_IDs,SRP_ERP_IDs
10614618,,
10623651,,
10627441,,
10637239,,
10639144,,
10627443,,
10656455,,
10655057,,
10658914,,
10667465,,
10679912,,
10680778,,
10680019,,
10686616,,
10698485,,
10699959,,
10704711,,
10706079,,
10706081,,
10706110,,
10713699,,
10715301,,
10719364,,
10719863,,
10728665,,
10735505,,
10741712,,
10741703,,
10752798,,
10752971,,
10766185,,
10766182,,
10766186,,
10766191,,
10766861,,
10778954,,
10779807,,
10786685,,
10782661,,
10793075,,
10793087,,
10799174,,
10811501,,
10811470,,
10815876,,
10815880,,
10816633,,
10820429,,
10835495,,
10828011,,
10835692,,
10843289,,
10843445,,
10845900,,
10845940,,
10846517,,
10854137,,
10854204,,
10859563,,
10861502,,
10861743,,
10861744,,
10866300,,
10868690,,
10872423,,
10870476,,
10872425,,
10873082,,
10873102,,
10887152,,
10889045,,
10894879,,
10910954,,
10910968,,
10914700,,
10918582,,
10923926,,
10930367,,
10937052,,
10938283,,
10944559,,
10945606,,
10947988,,
10955404,,
10955772,,
10955780,,
10962454,,
10963127,,
10963602,,
10965972,,
10967136,,
10969645,,
10970819,,
10973323,,
10973392,,
10980115,,
10987304,,
10980619,,
10999813,,
11016639,,
11032587,,
11034071,,
11040334,,
11045784,,
11051228,,
11061609,,
11061884,,
11062132,,
11071672,,
11072172,,
11075857,,
11077442,,
11085536,,
11091920,,
11092980,,
11097232,,
11094089,1371554; 1975449; 292665; 292666; 292667; 292668; 292669; 292670; 292671; 292672; 292673; 770547,SRP017546
11113097,,
11112665,,
11114313,,
11122134,,
11127945,,
11134207,,
11135160,,
11135558,,
11145738,,
11147228,,
11157416,,
11158605,,
11159190,,
11161780,,
11170133,,
11171990,,
11172011,,
11175318,,
11189825,,
11180093,,
11196170,,
11212240,,
11221861,,
11226285,,
11226292,,
11231483,,
11231557,,
11237705,,
11245424,,
11245433,,
11248065,,
11248581,,
11251957,,
11273768,,
11273776,,
11280733,,
11283924,,
11289126,,
11291827,,
11297271,,
11296254,,
11301843,,
11303590,,
11309289,,
11304785,,
11309438,,
11309634,,
11313279,,
11313894,,
11313668,,
11314036,,
11313966,,
11319910,,
11319915,,
11321310,,
11325813,,
11325821,,
11325823,,
11325855,,
11331320,,
11331327,,
11331330,,
11331959,,
11333291,,
11337351,,
11342768,,
11342453,,
11342771,,
11349214,,
11342779,,
11353531,,
11354501,,
11355953,,
11355567,,
11358800,,
11368340,,
11369653,,
11360107,,
11371342,,
11381269,,
11385514,,
11387367,,
11389090,,
11389052,,
11390535,,
11390655,,
11390984,,
11401310,,
11403303,,
11399443,,
11410492,,
11420703,,
11410495,,
11415490,,
11425221,,
11432620,,
11431719,,
11429448,,
11432621,,
11432631,,
11444807,,
11432882,,
11457921,,
11458812,,
11459869,,
11459996,,
11459866,,
11464283,,
11464291,,
11466671,,
11470909,,
11468148,,
11476231,,
11479207,,
11479891,,
11488520,,
11489806,,
11489804,,
11494132,,
11504743,,
11520734,,
11521227,,
11524584,,
11526225,,
11533645,,
11555582,,
11551406,,
11555607,,
11559209,,
11559528,,
11560288,,
11569887,,
11571629,,
11578935,,
11572412,,
11581659,,
11585723,,
11585760,,
11592347,,
11592777,,
11595684,,
11593436,,
11595694,,
11597799,,
11598267,,
11600602,,
11668624,,
11605184,,
11678307,,
11687699,,
11679188,,
11691795,,
11693898,,
11696422,,
11691816,,
11696814,,
11698130,,
11704325,,
11705845,,
11705849,,
11707601,,
11709705,,
11717452,,
11718660,,
11719355,,
11721901,,
11720437,,
11728186,,
11731440,,
11724950,,
11733352,,
11738556,,
11740998,,
11746267,,
11750093,,
11751230,,
11751476,,
11761451,,
11754110,,
11756769,,
11764071,,
11764539,,
11765069,,
11786403,,
11786397,,
11777673,,
11790211,,
11795428,,
11801543,,
11812860,,
11815975,,
11821455,,
11821507,,
11821866,,
11821456,,
11826285,,
11830538,,
11832455,,
11838682,,
11839649,,
11839651,,
11839684,,
11844514,,
11848412,,
11848723,,
11848418,,
11850789,,
11854390,,
11857292,,
11857298,,
11861270,,
11854602,,
11863364,,
11867767,,
11872646,,
11872143,,
11878811,,
11880636,,
11890325,,
11891193,,
11894020,,
11895900,,
11896111,,
11896120,,
11901922,,
11911416,,
11904375,,
11912167,,
11919066,,
11920286,,
11920786,,
11921175,,
11921271,,
11921176,,
11921399,,
11923135,,
11932472,,
11929815,,
11939869,,
11943709,,
11943721,,
11945121,,
11950919,,
11951977,,
11959119,,
11960383,,
11960385,,
11962331,,
11971195,,
11990381,,
11980673,,
12000709,,
12003192,,
12006505,,
12011120,,
12009952,,
12011121,,
12011222,,
12012609,,
12023117,,
12056703,,
12036948,,
12038753,,
12064365,,
12067610,,
12067994,,
12074161,,
12075701,,
12082016,,
12082532,,
12082623,,
12083920,,
12086887,,
12085234,,
12088200,,
12093903,,
12093945,,
12094104,,
12097290,,
12090425,,
12101420,,
12105864,,
12109856,,
12107213,,
12111104,,
12111696,,
12114420,,
12114433,,
12114441,,
12114432,,
12117758,,
12119002,,
12116168,,
12119292,,
12124324,,
12123704,,
12127531,,
12133903,,
12133994,,
12133727,,
12136241,,
12134617,,
12139239,,
12162677,,
12161654,,
12146961,,
12169675,,
12170765,,
12169684,,
12170767,,
12171878,,
12170779,,
12176997,,
12173324,,
12177096,,
12183410,,
12183620,,
12188259,,
12188882,,
12192641,,
12192322,,
12196509,,
12199598,,
12200358,,
12203978,,
12209013,,
12201492,,
12209681,,
12223426,,
12216736,,
12214307,,
12228197,,
12225999,,
12228198,,
12228200,,
12228208,,
12228199,,
12231536,,
12231170,,
12231521,,
12234982,,
12231542,,
12231543,,
12234983,,
12235006,,
12235088,,
12240405,,
12242729,,
12325027,,
12298083,,
12351594,,
12353253,,
12362274,,
12370753,,
12370922,,
12372746,,
12376143,,
12377962,,
12377659,,
12384551,,
12385037,,
12385455,,
12387838,,
12389007,,
12393427,,
12393493,,
12393519,,
12393520,,
12393590,,
12393746,,
12394768,,
12398194,,
12398190,,
12398889,,
12410018,,
12401908,,
12401909,,
12414502,,
12413464,,
12414619,,
12414622,,
12414638,,
12414658,,
12419364,,
12424110,,
12426227,,
12429629,,
12429740,,
12431974,,
12432281,,
12433679,,
12432559,,
12436452,,
12438737,,
12441325,,
12443019,,
12446467,,
12446840,,
12451470,,
12451473,,
12455028,,
12456505,,
12456791,,
12458011,,
12458975,,
12459009,,
12459374,,
12459735,,
12461783,,
12460918,,
12465451,,
12467239,,
12466971,,
12468436,,
12471176,,
12472596,,
12475693,,
12473581,,
12477483,,
12479701,,
12488329,,
12489076,,
12495134,,
12496492,,
12496745,,
12498714,,
12498197,,
12507225,,
12501816,,
12511585,,
12524552,,
12525509,,
12525513,,
12527785,,
12538459,,
12543103,,
12548572,,
12547808,,
12548573,,
12548609,,
12552619,,
12552623,,
12555074,,
12559178,,
12559179,,
12560440,,
12569127,,
12565998,,
12569560,,
12569614,,
12570156,,
12576823,,
12574499,,
12584574,,
12591722,,
12586796,,
12586811,,
12591958,,
12591989,,
12599229,,
12592330,,
12600942,,
12603129,,
12604128,,
12607607,,
12616528,,
12615714,,
12618377,,
12620409,,
12621132,,
12625702,,
12627512,,
12629353,,
12629521,,
12637460,,
12641273,,
12641470,,
12643902,,
12644542,,
12644981,,
12647314,,
12646935,,
12651607,,
12654308,,
12651616,,
12655442,,
12657276,,
12655561,,
12659264,,
12663727,,
12663709,,
12668137,,
12673124,,
12682253,,
12670912,,
12684418,,
12692102,,
12694720,,
12691141,,
12695855,,
12699023,,
12702533,,
12703826,,
12702759,,
12707025,,
12714585,,
12706181,,
12717392,,
12721252,,
12721259,,
12721762,,
12718541,,
12724318,,
12733147,,
12733155,,
12721260,,
12738854,,
12738242,,
12733468,,
12739061,,
12740351,,
12750561,,
12750283,,
12750167,,
12757377,,
12750565,,
12762450,,
12754303,,
12762451,,
12769675,,
12771131,,
12775765,,
12778007,,
12775841,,
12782599,,
12785850,,
12786798,,
12788648,,
12792919,,
12795532,,
12795531,,
12796369,,
12800194,,
12802286,,
12809895,,
12805325,,
12810631,,
12809522,,
12810333,,
12810643,,
12810677,,
12821310,,
12824367,,
12819009,,
12829800,,
12831558,,
12842085,,
12833150,,
12846420,,
12853973,,
12842082,,
12855642,,
12852473,,
12857956,,
12855654,,
12856001,,
12859031,,
12860942,,
12860943,,
12861065,,
12865927,,
12867608,,
12869408,,
12873151,,
12872228,,
12873992,,
12874019,,
12874021,,
12874863,,
12878857,,
12881371,,
12893748,,
12906916,,
12902985,,
12909356,,
12910510,,
12910244,,
12912953,,
12914671,,
12915456,,
12920848,,
12920849,,
12925502,,
12927430,,
12926082,,
12928346,,
12938148,,
12941841,,
12941840,,
12944921,,
12947060,,
12953345,,
12955390,,
12960116,,
12963697,,
12960427,,
12960422,,
12964167,,
12964306,,
12964763,,
12964305,,
12966350,,
12975312,,
12975311,,
12970740,,
13679454,,
14500976,,
14501721,,
14501725,,
14506137,,
14506117,,
14506183,,
14508078,,
14508084,,
14500366,,
14508092,,
14514947,,
14508116,,
14520700,,
14516475,,
14522247,,
14522896,,
14522249,,
14522904,,
14522910,,
14523790,,
14523791,,
14522918,,
14525958,,
14528320,,
14532779,,
14531691,,
14555506,,
14555527,,
14551341,,
14555616,,
14557448,,
14559800,,
14559801,,
14560019,,
14561895,,
14562054,,
14570215,,
14569191,,
14571691,,
14574005,,
14572031,,
14575358,,
14581339,,
14581350,,
14581348,,
14578679,,
14581353,,
14595858,,
14593203,,
14601056,,
14604958,,
14605666,,
14613982,,
14612410,,
14613997,,
14614138,,
14627397,,
14630607,,
14630685,,
14633713,,
14629557,,
14634399,,
14637248,,
14643297,,
14640740,,
14643452,,
14645415,,
14647267,,
14647945,,
14645548,,
14652558,,
14652855,,
14654533,,
14654545,,
14654542,,
14654546,,
14657371,,
14659016,,
14665713,,
14670042,,
14667784,,
14676117,,
14679200,,
14684320,,
14688378,,
14676112,,
14688470,,
14695172,,
14688412,,
14695210,,
14697044,,
14701779,,
14695408,,
14704360,,
14706336,,
14703515,,
14711815,,
14707498,,
14709652,,
14714994,,
14715624,,
14715676,,
14715906,,
14716296,,
14717774,,
14716745,,
14719879,,
14722959,,
14722961,,
14726676,,
14726700,,
14726387,,
14729634,,
14734310,,
14734462,,
14734493,,
14739784,,
14739661,,
14743470,,
14745882,,
14749474,,
14750077,,
14749479,,
14750530,,
14757416,,
14757532,,
14760066,,
14763162,,
14763161,,
14766929,,
14767283,,
14769036,,
14769994,,
14871814,,
14871961,,
14871976,,
14960364,,
14960466,,
14961715,,
14961749,,
14961750,,
14963491,,
14966087,,
14967075,,
14972511,,
14972341,,
14973332,,
14973081,,
14973116,,
14976037,,
14981678,,
14975618,,
14982844,,
14990463,,
14989083,,
14990610,,
14992494,,
14998165,,
14998842,,
14999791,,
15001710,,
15004512,,
15006598,,
15006924,,
15006928,,
15007082,,
15007088,,
15008156,,
15012062,,
15013589,,
15014009,,
15014005,,
15014015,,
15016751,,
15016963,,
15017593,,
15020603,,
15018576,,
15020604,,
15026346,,
15026399,,
15020610,,
15039286,,
15043198,,
15038727,,
15044465,,
15045029,,
15048096,,
15044961,,
15048072,,
15048786,,
15048996,,
15050332,,
15051889,,
15051779,,
15052538,,
15053285,,
15055299,,
15059893,,
15057734,,
15059921,,
15062098,,
15068834,,
15069775,,
15070698,,
15073115,,
15073851,,
15076291,,
15070752,,
15077154,,
15080728,,
15078062,,
15082010,,
15084390,,
15084671,,
15090541,,
15087390,,
15090077,,
15095316,,
15096565,,
15100341,,
15105292,,
15102459,,
15102658,,
15108270,,
15107617,,
15108273,,
15113100,,
15122293,,
15123238,,
15123581,,
15123585,,
15123805,,
15124691,,
15125667,,
15126332,,
15126342,,
15126336,,
15126351,,
15126500,,
15129429,,
15130800,,
15130842,,
15136450,,
15138165,,
15136764,,
15140398,,
15139054,,
15141043,,
15142407,,
15142411,,
15143076,,
15144956,,
15145163,,
15145177,,
15146327,,
15146909,,
15147377,,
15153806,,
15155950,,
15159304,,
15161712,,
15173071,,
15173063,,
15173955,,
15174060,,
15173352,,
15176052,,
15177041,,
15174514,,
15177467,,
15178790,,
15180681,,
15184995,,
15185007,,
15193255,,
15193259,,
15195144,,
15197203,,
15200121,,
15200949,,
15203795,,
15201999,,
15203796,,
15205342,,
15207009,,
15208189,,
15208675,,
15208682,,
15211478,,
15217492,,
15217514,,
15217830,,
15219942,,
15219164,,
15221990,,
15223952,,
15221777,,
15223964,,
15228330,,
15224285,,
15231670,,
15231753,,
15232106,,
15234045,,
15234957,,
15235824,,
15236435,,
15236976,,
15240671,,
15241836,,
15244422,,
15247716,,
15249584,,
15247719,,
15250760,,
15251940,,
15252303,,
15254419,,
15253446,,
15256439,,
15258593,,
15261574,,
15268628,,
15266335,,
15269129,,
15269805,,
15272417,,
15273288,,
15274004,,
15273396,,
15277238,,
15279715,,
15280203,,
15280533,,
15282325,,
15282323,,
15283590,,
15284006,,
15286780,,
15289501,,
15292716,,
15294979,,
15297311,,
15297406,,
15300853,,
15301880,,
15305341,,
15308571,,
15309633,,
15312765,,
15322568,,
15322319,,
15322858,,
15326380,,
15329895,,
15328174,,
15329905,,
15330186,,
15331657,,
15334530,,
15338010,,
15337805,,
15338621,,
15340087,,
15342372,,
15342391,,
15342805,,
15350023,,
15351274,,
15359740,,
15356401,,
15356041,,
15361643,,
15362030,,
15361840,,
15365077,,
15368330,,
15368334,,
15368474,,
15378479,,
15374952,,
15378738,,
15379856,,
15380591,,
15383790,,
15384423,,
15384972,,
15385632,,
15447010,,
15447996,,
15448028,,
15448004,,
15448190,,
15452235,,
15459393,,
15464447,,
15465869,,
15466186,,
15466373,,
15466981,,
15467436,,
15471900,,
15471951,,
15471990,,
15472730,,
15473694,,
15474431,,
15475387,,
15475438,,
15475446,,
15477757,,
15483672,,
15486071,,
15481459,,
15486192,,
15486293,,
15486560,,
15489328,,
15489331,,
15489340,,
15489895,,
15492338,,
15491740,,
15498859,,
15504636,,
15509548,,
15509720,,
15514371,,
15517972,,
15517975,,
15520055,,
15523559,,
15520199,,
15530997,,
15534610,,
15535439,,
15535848,,
15535849,,
15536463,,
15538239,,
15538284,,
15538570,,
15542603,,
15545661,,
15546114,,
15545624,,
15548720,,
15557262,,
15559247,,
15556519,,
15560723,,
15564543,,
15569974,,
15570084,,
15572587,,
15574755,,
15574760,,
15578690,,
15580296,,
15591268,,
15592455,1371554; 1975449; 292665; 292666; 292667; 292668; 292669; 292670; 292671; 292672; 292673; 770547,SRP017546
15592503,,
15592515,,
15592528,,
15592839,,
15597423,,
15598815,,
15602872,,
15604265,,
15604268,,
15604278,,
15605362,,
15609334,,
15611929,,
15613711,,
15615914,,
15617256,,
15618528,,
15619629,,
15623609,,
15625373,,
15623645,,
15627617,,
15643274,,
15642161,,
15647767,,
15648182,,
15653641,,
15649034,,
15653773,,
15656615,,
15656792,,
15659956,,
15657037,,
15661527,,
15662124,,
15662133,,
15665254,,
15665299,,
15665308,,
15668913,,
15673564,,
15674345,,
15677390,,
15679094,,
15680585,,
15680235,,
15686543,,
15687239,,
15689376,,
15693949,,
15696124,,
15699174,,
15699481,,
15700252,,
15700849,,
15701447,,
15701453,,
15701842,,
15701835,,
15701854,,
15701843,,
15701890,,
15701856,,
15705069,,
15706522,,
15708995,,
15707355,,
15712208,,
15711184,,
15712283,,
15713514,,
15713737,,
15714078,,
15714138,,
15718306,,
15718477,,
15722224,,
15731171,,
15726646,,
15731112,,
15733669,,
15735010,,
15731576,,
15735765,,
15735908,,
15741570,,
15735040,,
15741529,,
15747331,,
15744595,,
15746302,,
15749284,,
15751020,,
15753357,,
15753362,,
15748689,,
15754203,,
15755896,,
15756004,,
15756013,,
15756024,,
15761955,,
15756262,,
15761876,,
15766545,,
15772101,,
15762747,,
15767638,,
15774789,,
15780350,,
15780707,,
15780142,,
15781628,,
15777929,,
15784829,,
15782177,,
15788680,,
15785753,,
15791336,,
15797998,,
15800656,,
15800312,,
15791284,,
15800947,,
15802198,,
15805282,,
15805060,,
15805291,,
15816050,,
15806576,,
15821648,,
15806512,,
15824130,,
15822118,,
15824414,,
15824737,,
15827343,,
15828774,,
15829823,,
15829324,,
15831578,,
15832197,,
15833831,,
15833854,,
15837754,,
15850884,,
15837784,,
15853712,,
15851763,,
15855014,,
15855275,,
15858998,,
15859584,,
15860508,,
15861214,,
15864312,,
15867215,,
15867239,,
15868443,,
15876873,,
15870157,,
15877523,,
15878974,,
15879784,,
15879785,,
15879782,,
15879851,,
15880524,,
15882296,,
15883410,,
15882729,,
15882922,,
15884091,,
15885736,,
15887293,,
15890910,,
15890912,,
15893009,,
15893012,,
15893626,,
15894267,,
15894650,,
15895233,,
15897245,,
15897550,,
15897586,,
15899872,,
15905198,,
15909503,,
15923569,,
15920009,,
15916483,,
15923570,,
15930003,,
15930344,,
15930351,,
15930354,,
15934921,,
15938760,,
15942996,,
15944297,,
15944447,,
15948137,,
15948174,,
15950183,,
15948673,,
15950715,,
15950905,,
15950934,,
15952748,,
15952742,,
15956020,,
15956649,,
15958629,,
15961491,,
15961515,,
15961762,,
15963882,,
15964548,,
15967128,,
15966800,,
15970691,,
15970698,,
15972335,,
15972445,,
15972865,,
15972969,,
15979874,,
15983396,,
15983985,,
15987773,,
15987785,,
15988478,,
15994142,,
15994928,,
15994149,,
15998892,,
16000077,,
16000079,,
16000561,,
16000564,,
16000583,,
16002086,,
16005989,,
16013973,,
16015593,,
16020627,,
16024624,,
16025498,,
16026735,,
16027168,,
16027220,,
16030187,,
16030116,,
16030306,,
16033840,,
16034518,,
16034523,,
16041306,,
16037387,,
16041310,,
16043703,,
16044163,,
16048906,,
16052620,,
16052622,,
16053319,,
16054648,,
16061633,,
16075534,,
16077016,,
16077063,,
16077072,,
16078231,,
16078263,,
16079851,,
16080956,,
16082177,,
16083255,,
16083262,,
16083287,,
16086854,,
16087880,,
16088402,,
16093984,,
16094420,,
16094456,,
16098244,,
16099400,,
16101455,,
16103438,,
16106015,,
16103458,,
16107858,,
16110030,,
16114034,,
16111750,,
16115903,,
16116034,,
16115910,,
16116148,,
16116477,,
16116238,,
16118636,,
16118805,,
16120050,,
16123302,,
16133531,,
16131523,,
16135484,,
16135795,,
16136528,,
16135934,,
16140919,,
16137629,,
16140934,,
16140960,,
16140968,,
16140977,,
16142997,,
16143517,,
16144803,,
16144926,,
16145047,,
16145049,,
16145067,,
16147989,,
16151407,,
16152616,,
16153117,,
16153197,,
16155016,,
16155292,,
16157829,,
16162850,,
16166443,,
16166312,,
16166456,,
16166629,,
16167059,,
16167695,,
16170159,,
16170160,,
16172232,,
16173808,,
16175185,,
16177818,,
16179969,,
16186809,,
16187286,,
16189362,,
16189514,,
16192588,,
16193082,,
16193394,,
16194712,,
16194896,,
16195224,,
16197610,,
16197617,,
16199174,,
16199179,,
16199439,,
16199861,,
16200074,,
16203743,,
16203769,,
16204060,,
16204083,,
16206186,,
16205641,,
16206286,,
16207359,,
16209646,,
16212429,,
16212440,,
16212443,,
16212814,,
16214912,,
16215274,,
16220468,,
16223239,,
16223878,,
16230372,,
16230387,,
16230778,,
16234003,,
16231326,,
16234520,,
16236738,,
16236241,,
16238351,,
16239907,,
16239431,,
16243825,,
16243834,,
16245277,,
16247780,,
16248283,,
16248573,,
16256696,,
16252253,,
16256700,,
16258065,,
16258368,,
16257831,,
16260602,,
16260760,,
16263569,,
16263886,,
16275934,,
16264825,,
16275985,,
16278408,,
16278394,,
16278419,,
16281186,,
16279574,,
16280033,,
16282176,,
16285906,,
16286248,,
16287063,,
16287263,,
16292882,,
16293603,,
16288556,,
16293620,,
16294038,,
16294311,,
16294348,,
16299243,,
16302260,,
16304402,,
16302964,,
16304999,,
16305490,,
16306877,,
16306258,,
16314644,,
16321811,,
16322117,,
16322314,,
16322204,,
16322684,,
16328416,,
16327095,,
16328573,,
16331155,,
16335939,,
16335973,,
16338398,,
16338397,,
16338623,,
16339399,,
16341146,,
16344317,,
16351174,,
16352804,,
16353213,,
16352669,,
16353378,,
16357174,,
16360458,,
16354325,,
16361440,,
16361560,,
16361621,,
16362047,,
16362299,,
16364304,,
16365181,,
16365029,,
16365605,,
16366758,,
16369491,,
16370940,,
16373658,,
16373710,,
16377175,,
16384919,,
16381544,,
16388505,,
16391785,,
16395408,,
16395409,,
16397208,,
16397052,,
16397221,,
16397410,,
16397268,,
16398469,,
16399771,,
16399996,,
16403791,,
16406980,,
16406987,,
16406988,,
16408927,,
16410353,,
16414947,,
16417627,,
16418012,,
16418493,,
16419071,,
16420670,,
16420678,,
16421102,,
16421424,,
16424011,,
16424029,,
16424060,,
16428484,,
16425266,,
16428486,,
16432235,,
16432076,,
16434608,,
16432518,,
16435004,,
16436631,,
16440331,,
16443512,,
16443518,,
16443944,,
16443924,,
16443950,,
16448057,,
16445351,,
16455183,,
16455777,,
16456821,,
16458282,,
16461635,,
16461911,,
16466964,,
16469581,,
16467070,,
16467117,,
16469859,,
16470603,,
16472607,,
16473666,,
16480733,,
16480930,,
16482209,,
16484695,,
16487177,,
16488772,,
16489017,,
16489361,,
16491480,,
16492161,,
16492690,,
16492758,,
16493003,,
16497976,,
16502348,,
16502407,,
16503733,,
16505416,,
16505413,,
16510602,,
16510609,,
16511510,,
16512675,,
16514114,,
16515984,,
16515989,,
16517162,,
16519530,,
16522048,,
16523367,,
16522815,,
16522864,,
16523454,,
16533783,,
16523529,,
16533793,,
16536452,,
16537359,,
16537362,,
16538648,,
16539836,,
16540680,,
16541302,,
16543389,,
16541416,,
16544997,,
16545728,,
16551845,,
16551993,,
16555978,,
16551868,,
16556079,,
16567769,,
16573373,,
16574760,,
16574766,,
16575206,,
16575211,,
16582422,,
16594809,,
16596125,,
16596225,,
16596327,,
16596714,,
16609019,,
16609087,,
16611983,,
16615907,,
16616046,,
16616343,,
16616336,,
16617154,,
16618720,,
16618725,,
16618742,,
16618782,,
16619264,,
16622122,,
16626110,,
16626797,,
16628187,,
16630521,,
16632465,,
16635789,,
16636336,,
16640816,,
16643655,,
16642271,,
16644104,,
16645094,,
16645742,,
16646800,,
16647225,,
16648505,,
16649221,,
16651440,,
16670265,,
16678103,,
16680151,,
16680703,,
16682259,,
16682621,,
16682647,,
16683073,,
16683984,,
16687487,,
16686730,,
16689526,,
16689541,,
16691484,,
16691504,,
16697955,,
16698684,,
16697957,,
16702403,,
16705089,,
16705126,,
16705311,,
16707084,,
16707417,,
16707479,,
16707439,,
16707430,,
16707483,,
16708764,,
16709019,,
16718617,,
16715360,,
16720159,,
16721048,,
16722773,,
16722805,,
16723630,,
16725386,,
16728703,,
16729910,,
16730267,,
16732332,,
16733565,,
16736151,,
16737937,,
16739998,,
16740690,,
16752411,,
16752421,,
16757216,,
16755550,,
16757721,,
16760122,,
16761017,,
16762635,,
16763281,,
16762839,,
16763792,,
16766261,,
16767486,,
16767086,,
16772446,,
16777992,,
16778179,,
16778214,,
16778224,,
16779822,,
16781865,,
16785067,,
16785638,,
16785645,,
16785646,,
16787133,,
16787682,,
16788754,,
16790333,,
16800712,,
16798122,,
16801294,,
16802326,,
16818648,,
16818701,,
16818852,,
16822820,,
16822843,,
16822846,,
16825284,,
16827569,,
16829574,,
16829212,,
16830153,,
16830322,,
16832045,,
16835332,,
16835967,,
16837551,,
16838179,,
16840727,,
16840723,,
16843263,1371554; 1975449; 292665; 292666; 292667; 292668; 292669; 292670; 292671; 292672; 292673; 770547,SRP017546
16843264,,
16844080,,
16845661,,
16846475,,
16849436,,
16849543,,
16847283,,
16849757,,
16853163,,
16854078,,
16855390,,
16856041,,
16857784,,
16857987,,
16858539,,
16864055,,
16864058,,
16868089,,
16869825,,
16870729,,
16876893,,
16877703,,
16880200,,
16877737,,
16880944,,
16882745,,
16884331,,
16885219,,
16888133,,
16890678,,
16891676,,
16894523,,
16894031,,
16894525,,
16895328,,
16896061,,
