type	dataset_uuid	dataset_source_repo	dataset_title	description	dataset_source_id	dataset_source_url	PI_name	GPA	dataset_doc	dataset_pmid	funding_source	release_date	limitations_for_reuse	assay_method	study_type	primary_disease	participant_count	sample_count	study_links	related_genes	related_diseases	related_terms	dataset_year_enrollment_started	dataset_year_enrollment_ended	dataset_minimum_age_at_baseline	dataset_maximum_age_at_baseline
dataset	a39e283a-c25f-40f4-8e05-979bd2867d71	CEDCD	Clue Cohort Study- Clue II	"Clue Cohort Study -CLUE II - Campaign Against Cancer and Heart Disease  CLUE II was similar to CLUE I in many respects. It was conducted from May through October 1989. Mobile trailers were used that operated in all areas of the county and at all times of day except between 1 and 6 a.m. Brief medical histories and blood pressure readings were taken, and 20 ml of blood was drawn into heparinized Vacutainers. Specimens were refrigerated at once, and processed within 24 hours. Plasma, buffy coat, and red blood cells have been preserved at -70C. A total of 32,894 persons participated, of whom 25,079 gave Washington County, MD addresses. Comparisons with published figures from the 1990 Census indicated that  approximately 30 percent of adult residents had participated. As in CLUE I, women and the better educated had higher than average participation rates, as did the age group 45 to 70 years. Data obtained at baseline include age, race, sex, marital status, time since last menstrual period, smoking history, blood pressure, medication use, hormone use, height and weight currently and at age 21. Participants were given a food frequency questionnaire to complete at home and asked to return it (80%) with a toenail clipping for trace metal assays (76%). Cholesterol results were mailed to participants within a few days of blood draw, along with guidelines for physician referral.  Information has been collected from this cohort as far back as 1963 and as recently as 2007 from the following sources: private censuses conducted in 1963 and 1975, questionnaires completed at the times of blood donation, and follow-up information from questionnaires administered in 1996, 1998, 2000, 2003, and 2007.  Cancer has developed in 8100 CLUE II participants, and plasma remains for 98 percent of these cases. There is also some normal and cancer tissue available which we are still in process of putting together the details for.  CLUE I and II Over a third of the participants in CLUE I also participated in CLUE II (9132) with 8394 forming the Odyssey Cohort. DNA has been extracted for 99% of the Odyssey Cohort. Race of the study population is not well delineated in CLUE 1 and CLUE 2. The majority of the population self reports being white which was reflective of Washington County in the 1970s and 1980s."	194	https://cedcd.nci.nih.gov/cohort?id=194	Kala Visvanathan		Cancer Epidemiology Descriptive Cohort Database (CEDCD)						Etiology	Multiple Cancer Types	32893		http://www.jhsph.edu/comstockcenter/clue_research_activities.html		"All Other Cancers, Bladder, Bone, Brain, Cervical carcinoma in situ (CIN II/III, CIS, AIS), Cervix (Squamous cell carcinoma, Adenocarcinoma), Colon, Corpus, body of uterus, Ductal carcinoma in situ of breast, Esophagus, Gall bladder and extrahepatic bile ducts, Hodgkin Lymphoma, Invasive Breast Cancer, Kidney and other unspecified urinary organs, Leukemia, Liver and intrahepatic bile ducts, Lung and bronchus, Melanoma (excluding mucosal sites), Myeloma, Non-Hodgkin Lymphoma, Oropharyngeal, Ovary, fallopian tube, broad ligament, Pancreas, Prostate, Rectum and anus, Small intestine, Stomach, Thyroid"	"Buffy Coat and/or Lymphocytes, Feces, Saliva and/or Buccal, Serum and/or Plasma, Tumor Tissue FFPE, Tumor Tissue Fresh/Frozen, Urine"	1989	1989	2	99
dataset	d5d3f750-db2d-43c2-be0c-0d5bc04e9b6d	CEDCD	Clue Cohort Study- Clue I	"CLUE I - Campaign Against Cancer and Stroke From August through November 1974, the Campaign against Cancer and Stroke was conducted in Washington County, MD. Referred to as CLUE I (from the slogan 'Give us a Clue to Cancer'), the study was designed to collect blood samples from as many volunteers  as possible to provide specimens for a serum bank, to 'find out if certain substances in blood serum appear before the onset of cancer and other important diseases'. Mobile trailers were stationed in a wide variety of locations in an effort to give all segments of the community ample opportunity to participate. Among the total of 26,145 persons participating, 23,950 were county residents. Linkage of the records from this program to those of a private census in the summer of 1975 indicated that almost one third of the adult population of the county had participated. Eighty three percent of CLUE I Washington County residents  participated in the 1975 county census providing household data, including smoking, pets, fuel, and drinking water sources. From the supplemental census data a socioeconomic index code and passive smoking code have been determined.   CLUE I participation was best in the age group 35 to 65 years, and was slightly better among females, the better-educated, and nonsmokers. A brief medical history form was completed at the time of blood collection. A medication history (including use of vitamins and hormones) and blood pressure were taken. Blood was drawn into 15 ml Vacutainers, allowed to clot, refrigerated until it was centrifuged, and two 6 ml aliquots of serum were removed for storage at -70C. The time from blood draw to freezing was usually only a few hours, and never more than 24 hours.  Among the CLUE I participants, 7849 cases of cancer have developed, with serum remaining from 96 percent of the cases.   CLUE I and II Over a third of the participants in CLUE I also participated in CLUE II in 1989 (9111) with 8394 forming the Odyssey Cohort. DNA has been extracted for 99% of the Odyssey Cohort. For those in CLUE I and II, data obtained in 1974 and 1989 included age, marital status, time since last menstrual period, smoking history, blood pressure, medication use, hormone use, height and weight and at age 21 (from CLUE II baseline), and dietary data from a food-frequency questionnaire (from CLUE II baseline). Race of the study population is not well delineated in CLUE 1 and CLUE 2. The majority of the population self reports being white which was reflective of Washington County in the 1970s and 1980s."	193	https://cedcd.nci.nih.gov/cohort?id=193	Kala Visvanathan		Cancer Epidemiology Descriptive Cohort Database (CEDCD)						Etiology	Multiple Cancer Types	26144		http://www.jhsph.edu/comstockcenter/clue_research_activities.html		"All Other Cancers, Bladder, Bone, Brain, Cervical carcinoma in situ (CIN II/III, CIS, AIS), Cervix (Squamous cell carcinoma, Adenocarcinoma), Colon, Corpus, body of uterus, Ductal carcinoma in situ of breast, Esophagus, Gall bladder and extrahepatic bile ducts, Hodgkin Lymphoma, Invasive Breast Cancer, Kidney and other unspecified urinary organs, Leukemia, Liver and intrahepatic bile ducts, Lung and bronchus, Melanoma (excluding mucosal sites), Myeloma, Non-Hodgkin Lymphoma, Oropharyngeal, Ovary, fallopian tube, broad ligament, Pancreas, Prostate, Rectum and anus, Small intestine, Stomach, Thyroid"	"Buffy Coat and/or Lymphocytes, Feces, Saliva and/or Buccal, Serum and/or Plasma, Tumor Tissue FFPE, Tumor Tissue Fresh/Frozen, Urine"	1974	1974	12	97
dataset	bb0aa6a0-584e-4c79-aae7-3ae66ac72c2d	CEDCD	Northern Sweden Health and Disease Study	"NSHDS (Northern Sweden Health and Disease Study) is an umbrella term for a prospective biobank with related survey data. The sample collection consists of three subcohorts, VIP, MA and MO. The data can be linked to cancer registers and other disease registers for all  major cancer sites. Fresh/frozen tumor tissue is available for some cancer forms. Respective research group owns the data. VIP - VASTERBOTTEN INTERVENTION PROGRAMME The cohort is population-based and consists of blood and data from primarily 40, 50 and 60 year olds, taken every year in this age group in connection with the Vasterbotten health surveys from 1985 - present. The blood samples consist primarily of EDTA and heparin blood samples divided into plasma, erythrocyte concentrate and buffy coat and for a certain percentage, the DNA is extracted. Survey data concerning health-related lifestyle factors can be linked to the blood samples, and a number of user tables have been created. The database NSDD consists of survey data from VIP concerning nutritional factors. A large part is fasting samples. Individuals: 128,167 Individuals with repeated samples: 46,281  MA - MAMMOGRAPHY SCREENING PROJECT Samples and data are collected in connection with mammography screenings  1995-2006. The blood samples consist primarily of EDTA and heparin blood samples divided into plasma, erythrocyte concentrate and buffy coat, and for a certain percentage, the DNA is also extracted. The cohort consists of women, 18-82 years old (95% between 48 and 70 years old). Survey data can be linked to the blood samples. Individuals: 28,800 Individuals with repeated samples: 14,600 Sampling occasions: 54,000 MO - THE NORTHERN SWEDISH MONICA PROJECT The MONICA study is a longitudinal population-based database for research in cardiovascular disease and diabetes. Since 1985, eight screenings has been performed (1986, 1990, 1994, 1999, 2004, 2009, 2014 and 2022) of a randomized selection of the population in the counties of Vasterbotten and Norrbotten in Northern Sweden. Individuals: 13,491 Individuals with repeated samples: 3,508 https://www.umu.se/enheten-for-biobanksforskning/provsamlingar-och-register/northern-sweden-health-and-disease-study/"	192	https://cedcd.nci.nih.gov/cohort?id=192	"Bethany van Guelpen, Stefan Soderberg"		Cancer Epidemiology Descriptive Cohort Database (CEDCD)						Etiology	Multiple Cancer Types	143629		https://www.umu.se/en/brs/		"All Other Cancers, Bladder, Bone, Brain, Cervix (Squamous cell carcinoma, Adenocarcinoma), Colon, Corpus, body of uterus, Esophagus, Gall bladder and extrahepatic bile ducts, Hodgkin Lymphoma, Invasive Breast Cancer, Kidney and other unspecified urinary organs, Leukemia, Liver and intrahepatic bile ducts, Lung and bronchus, Melanoma (excluding mucosal sites), Myeloma, Non-Hodgkin Lymphoma, Oropharyngeal, Ovary, fallopian tube, broad ligament, Pancreas, Prostate, Rectum and anus, Small intestine, Stomach, Thyroid"	"Buffy Coat and/or Lymphocytes, Feces, Saliva and/or Buccal, Serum and/or Plasma, Tumor Tissue FFPE, Tumor Tissue Fresh/Frozen, Urine"	1985		18	82
dataset	f47c0f7f-f5d9-4b1d-ab12-5592d34cb78b	CEDCD	Breast Cancer Family Registry Cohort	"The Breast Cancer Family Registry (BCFR) is an international resource of multi-generational families, data, and biospecimens established for interdisciplinary collaborative research on breast cancer, which is available to the entire scientific community.  Over 40,000 individuals from over 15,000 families have generously contributed questionnaire data, clinical data and/or biospecimens. Over 150 individual investigators at all stages of their careers, from pre-doctoral students to full professors have used the BCFR resources (using over 200,000 biospecimen samples) since its inception, generating over 600 scientific publications.    The BCFR provides an extensive and diverse range of resources, expertise, and specialized skills, and has several unique strengths: 1) the collection of a large number of individuals and families across a wide spectrum of breast cancer risk, including both affected and unaffected individuals; 2) the large collection of families with early-onset breast cancer; 3) the large collection of racial/ethnic minority families not replicated elsewhere; 4) the extensive molecular characterization performed to date; and 5) active follow-up of both probands and family members. Thus, the BCFR comprises a unique cohort of probands and family members at familial/genetic risk of breast cancer that will continue to facilitate a wide range of research studies, such as gene discovery, examination of cancer-related outcomes and risk factors in high-risk subjects, investigation of novel behavioral interventions, and cancer prevention trials among at-risk family members. Consequently, the BCFR Cohort, as one of the few cohorts available worldwide with biospecimens and extensive molecular and genetic characterization combined with epidemiologic data and long-term follow up, will be an invaluable resource for translational research in the genetic epidemiology of breast cancer."	191	https://cedcd.nci.nih.gov/cohort?id=191	"Irene Andrulis, PhD, Jeanine M. Genkinger, PHD, MHS, Mary Beth Terry, PhD (Contact PI), Mary Daly, MD, PhD, Melissa C. Southey, PhD, Sarah Colonna, MD"		Cancer Epidemiology Descriptive Cohort Database (CEDCD)						Etiology	Multiple Cancer Types	40902		http://www.bcfamilyregistry.org/		"All Other Cancers, Bladder, Bone, Brain, Cervical carcinoma in situ (CIN II/III, CIS, AIS), Cervix (Squamous cell carcinoma, Adenocarcinoma), Colon, Corpus, body of uterus, Ductal carcinoma in situ of breast, Esophagus, Gall bladder and extrahepatic bile ducts, Hodgkin Lymphoma, Invasive Breast Cancer, Kidney and other unspecified urinary organs, Leukemia, Liver and intrahepatic bile ducts, Lung and bronchus, Melanoma (excluding mucosal sites), Myeloma, Non-Hodgkin Lymphoma, Oropharyngeal, Ovary, fallopian tube, broad ligament, Pancreas, Prostate, Rectum and anus, Small intestine, Stomach, Thyroid"	"Buffy Coat and/or Lymphocytes, Feces, Saliva and/or Buccal, Serum and/or Plasma, Tumor Tissue FFPE, Tumor Tissue Fresh/Frozen, Urine"	1996		18	101
dataset	bd58a35c-a0e0-43e0-a41d-981e48fcde24	CEDCD	Detroit Research on Cancer Survivorship	"The cohort will support a broad research agenda aimed at identifying major factors affecting cancer survivorship in African Americans. Individual, provider, health care system and community issues that will be addressed include tumor and genetic characteristics, behavioral factors (i.e., diet, physical activity, smoking, alcohol consumption), comorbid conditions, social support, treatment patterns (i.e., compliance, adherence and response), and patient-reported quality of life.  Inclusion of caregivers in the cohort will also enrich the research that can be developed in the areas of family support and financial hardship."	189	https://cedcd.nci.nih.gov/cohort?id=189	"Ann Schwartz, PhD, MPH, Jennifer Beebe-Dimmer, PhD"		Cancer Epidemiology Descriptive Cohort Database (CEDCD)						Survivor	Multiple Cancer Types	5069		detroitrocs.org		"All Other Cancers, Bladder, Bone, Brain, Cervical carcinoma in situ (CIN II/III, CIS, AIS), Cervix (Squamous cell carcinoma, Adenocarcinoma), Colon, Corpus, body of uterus, Esophagus, Gall bladder and extrahepatic bile ducts, Hodgkin Lymphoma, Invasive Breast Cancer, Kidney and other unspecified urinary organs, Leukemia, Liver and intrahepatic bile ducts, Lung and bronchus, Melanoma (excluding mucosal sites), Myeloma, Non-Hodgkin Lymphoma, Oropharyngeal, Ovary, fallopian tube, broad ligament, Pancreas, Prostate, Rectum and anus, Small intestine, Stomach, Thyroid"	"Buffy Coat and/or Lymphocytes, Feces, Saliva and/or Buccal, Serum and/or Plasma, Tumor Tissue FFPE, Tumor Tissue Fresh/Frozen, Urine"	2013	2022	20	79
dataset	115146dd-5a31-46b1-9b2f-5a2dc2ace9a2	CEDCD	Health Professionals Follow-up Study	"The Health Professionals Follow-Up Study (HPFS) began in 1986 with 51,529 men age 40 to 75 years at baseline who were in one of the following health professions: 29,683 dentists, 4,185 pharmacists, 3,745 optometrists, 2,220 osteopath physicians, 1,600 podiatrists, and 10,098 veterinarians. The researchers selected health professionals in the belief that men who chose these types of careers would be motivated and committed to participating in a long-term project and would appreciate the necessity of answering the survey questions accurately. The purpose of the study is to evaluate a series of hypotheses about men's health relating nutritional and other factors to the incidence of serious illnesses, such as cancer, heart disease, and other vascular diseases. This all-male study is designed to complement the all-female Nurses' Health Study, which examines similar hypotheses.  Every two years, study participants complete detailed questionnaires to collect information about diseases as well as health-related topics such as smoking, physical activity, sleep patterns, screening, and medications taken. The questionnaires that ask detailed dietary information are administered in four-year intervals. For participants diagnosed with prostate cancer, there are questionnaires sent every two years about treatments, disease progression, and quality of life.  There are existing biorepositories for several members of the cohort including blood, DNA, tumor tissue, saliva, and toenail specimens."	188	https://cedcd.nci.nih.gov/cohort?id=188	"Lorelei Mucci, ScD, Walter Willett, MD"		Cancer Epidemiology Descriptive Cohort Database (CEDCD)						Etiology	Multiple Cancer Types	51529		http://www.hsph.harvard.edu/hpfs/		"All Other Cancers, Bladder, Bone, Brain, Cervix (Squamous cell carcinoma, Adenocarcinoma), Colon, Corpus, body of uterus, Esophagus, Gall bladder and extrahepatic bile ducts, Hodgkin Lymphoma, Invasive Breast Cancer, Kidney and other unspecified urinary organs, Leukemia, Liver and intrahepatic bile ducts, Lung and bronchus, Melanoma (excluding mucosal sites), Myeloma, Non-Hodgkin Lymphoma, Oropharyngeal, Ovary, fallopian tube, broad ligament, Pancreas, Prostate, Rectum and anus, Small intestine, Stomach, Thyroid"	"Buffy Coat and/or Lymphocytes, Feces, Saliva and/or Buccal, Serum and/or Plasma, Tumor Tissue FFPE, Tumor Tissue Fresh/Frozen, Urine"	1986	1988	40	75
dataset	67c6df99-945e-4e7f-9b81-c78717ed6e69	CEDCD	Carotene and Retinol Efficacy Trial	"The Carotene and Retinol Efficacy Trial (CARET) was a randomized, double-blind, placebo-controlled trial of the cancer prevention efficacy and safety of a daily combination of 30 milligrams (mg) of beta-carotene and 25,000 IU of retinyl palmitate in 18,314 persons who were at high risk for lung cancer. The investigators studied two high-risk populations: 4,060 men with extensive occupational exposure to asbestos, and 7,965 men and 6,289 women with at least 20 pack-years of cigarette smoking history. The trial began recruitment in 1985 and was halted in January 1996, 21 months ahead of schedule, with the twin conclusions of no benefit and substantial evidence of a harmful effect of the intervention on both lung cancer incidence and total mortality. Participants were followed for over nine years post-intervention, with updated lung cancer incidence and cardiovascular disease mortality findings published in 2004. On June 30, 2005, CARET stopped active follow-up of participants. Passive follow-up to extend cancer and death outcomes through 2013 was conducted via linkages with select state cancer registries and the National Death Index (NDI).  During the active intervention phase of CARET, serum, plasma, whole blood, and lung tissue specimens were collected. These biospecimens make up the CARET Biorepository."	187	https://cedcd.nci.nih.gov/cohort?id=187	"Marian Neuhouser, Matthew Triplette"		Cancer Epidemiology Descriptive Cohort Database (CEDCD)						Etiology	Multiple Cancer Types	18314		https://www.fredhutch.org/en/research/divisions/public-health-sciences-division/research/cancer-prevention/carotene-and-retinol-efficacy-trial.html		"All Other Cancers, Bladder, Bone, Brain, Cervical carcinoma in situ (CIN II/III, CIS, AIS), Cervix (Squamous cell carcinoma, Adenocarcinoma), Colon, Corpus, body of uterus, Ductal carcinoma in situ of breast, Esophagus, Gall bladder and extrahepatic bile ducts, Hodgkin Lymphoma, Invasive Breast Cancer, Kidney and other unspecified urinary organs, Leukemia, Liver and intrahepatic bile ducts, Lung and bronchus, Melanoma (excluding mucosal sites), Myeloma, Non-Hodgkin Lymphoma, Oropharyngeal, Ovary, fallopian tube, broad ligament, Pancreas, Prostate, Rectum and anus, Small intestine, Stomach, Thyroid"	"Buffy Coat and/or Lymphocytes, Feces, Saliva and/or Buccal, Serum and/or Plasma, Tumor Tissue FFPE, Tumor Tissue Fresh/Frozen, Urine"	1985	1994	45	74
dataset	013bcd11-0cb1-4c46-bdf6-e56fbae7b1f3	CEDCD	Southern Community Cohort Study	"The Southern Community Cohort Study (SCCS), funded by the National Cancer Institute and initiated in 2001, was established to address many unresolved questions about the root causes of cancer health disparities, with its findings expected to help prevent and reduce the burden of cancer among all populations.  This prospective cohort study of approximately 85,000 adults in the southeastern United States has among the highest representation of African Americans (two-thirds) among existing U.S. cohorts and a large biorepository poised to address scientific questions about the causes of both common and rare cancers (as well as of chronic diseases such as diabetes and cardiovascular disease).  The SCCS is conducted by a collaborative team of scientists at Vanderbilt University Medical Center and Meharry Medical College.  Outside scientific collaborations are welcome and encouraged."	186	https://cedcd.nci.nih.gov/cohort?id=186	"Dr. Martha Shrubsole, Dr. Wei Zheng"		Cancer Epidemiology Descriptive Cohort Database (CEDCD)						Etiology	Multiple Cancer Types	84508		http://www.southerncommunitystudy.org/		"All Other Cancers, Bladder, Bone, Brain, Cervical carcinoma in situ (CIN II/III, CIS, AIS), Cervix (Squamous cell carcinoma, Adenocarcinoma), Colon, Corpus, body of uterus, Ductal carcinoma in situ of breast, Esophagus, Gall bladder and extrahepatic bile ducts, Hodgkin Lymphoma, Invasive Breast Cancer, Kidney and other unspecified urinary organs, Leukemia, Liver and intrahepatic bile ducts, Lung and bronchus, Melanoma (excluding mucosal sites), Myeloma, No Cancer, Non-Hodgkin Lymphoma, Oropharyngeal, Ovary, fallopian tube, broad ligament, Pancreas, Prostate, Rectum and anus, Small intestine, Stomach, Thyroid"	"Buffy Coat and/or Lymphocytes, Feces, Saliva and/or Buccal, Serum and/or Plasma, Tumor Tissue FFPE, Tumor Tissue Fresh/Frozen, Urine"	2002	2009	40	79
dataset	35edace5-b451-425a-864a-983b35cf789f	CEDCD	Breast Cancer Now Generations Study	"The Generations Study is a long-term cohort study of more than 113,000 women aged 16 years and older from the general population of the United Kingdom.  Detailed questionnaire information has been gathered at recruitment about factors that might relate to breast cancer risk or protection.  Blood samples have been collected at baseline recruitment from more than 90 percent of cohort members.   Follow-up rounds are designed to occur about every 3 to 4 years, with the intention to continue to collect data for the next 40 years or longer.  While the study focuses particularly on the aetiology of breast cancer, the data that are collected will also allow analyses of the aetiology of other cancers and causes of death."	185	https://cedcd.nci.nih.gov/cohort?id=185	Amy Berrington		Cancer Epidemiology Descriptive Cohort Database (CEDCD)						Etiology	Multiple Cancer Types	113750		http://www.breakthroughgenerations.org.uk/		"All Other Cancers, Bladder, Bone, Brain, Cervical carcinoma in situ (CIN II/III, CIS, AIS), Cervix (Squamous cell carcinoma, Adenocarcinoma), Colon, Corpus, body of uterus, Ductal carcinoma in situ of breast, Esophagus, Gall bladder and extrahepatic bile ducts, Hodgkin Lymphoma, Invasive Breast Cancer, Kidney and other unspecified urinary organs, Leukemia, Liver and intrahepatic bile ducts, Lung and bronchus, Melanoma (excluding mucosal sites), Myeloma, Non-Hodgkin Lymphoma, Oropharyngeal, Ovary, fallopian tube, broad ligament, Pancreas, Prostate, Rectum and anus, Small intestine, Stomach, Thyroid"	"Buffy Coat and/or Lymphocytes, Feces, Saliva and/or Buccal, Serum and/or Plasma, Tumor Tissue FFPE, Tumor Tissue Fresh/Frozen, Urine"	2003	2015	16	102
dataset	c0236003-435d-4baa-b209-89d19060fa47	CEDCD	Breast Cancer Surveillance Consortium Research Resource	"The Breast Cancer Surveillance Consortium (BCSC) is a collaborative network of breast imaging registries since 1994 focused on research to assess and improve the delivery and quality of breast cancer screening and outcomes in the United States. The registries perform annual linkages to tumor and pathology registries in their geographic region and are supported by a central Statistical Coordinating Center. Important objectives of the BCSC are to enhance our understanding of breast cancer screening practices and to help improve the practice of community-based mammography screening. Our work aims to improve the balance of benefit and harms of breast cancer screening by providing clinically meaningful, robust evidence with the ultimate goal of reducing breast cancer mortality. To pursue these objectives, the participating sites collaborate to conduct research and disseminate results."	184	https://cedcd.nci.nih.gov/cohort?id=184	"Anna Tosteson, Diana Miglioretti, Karla Kerlikowske"		Cancer Epidemiology Descriptive Cohort Database (CEDCD)						Etiology	Multiple Cancer Types	2608034		https://www.bcsc-research.org/		"All Other Cancers, Bladder, Bone, Brain, Cervix (Squamous cell carcinoma, Adenocarcinoma), Colon, Corpus, body of uterus, Esophagus, Gall bladder and extrahepatic bile ducts, Hodgkin Lymphoma, Invasive Breast Cancer, Kidney and other unspecified urinary organs, Leukemia, Liver and intrahepatic bile ducts, Lung and bronchus, Melanoma (excluding mucosal sites), Myeloma, Non-Hodgkin Lymphoma, Oropharyngeal, Ovary, fallopian tube, broad ligament, Pancreas, Prostate, Rectum and anus, Small intestine, Stomach, Thyroid"	"Buffy Coat and/or Lymphocytes, Feces, Saliva and/or Buccal, Serum and/or Plasma, Tumor Tissue FFPE, Tumor Tissue Fresh/Frozen, Urine"	1994		18	113
