type	dataset_uuid	dataset_source_repo	dataset_title	description	dataset_source_id	dataset_source_url	PI_name	GPA	dataset_doc	dataset_pmid	funding_source	release_date	limitations_for_reuse	assay_method	study_type	primary_disease	participant_count	sample_count	study_links	related_genes	related_diseases	related_terms	dataset_year_enrollment_started	dataset_year_enrollment_ended	dataset_minimum_age_at_baseline	dataset_maximum_age_at_baseline
dataset	b0f70ff6-a21f-5a8d-a957-29eb19a19f53	DCEG	Agricultural Health Study (AHS)	The Agricultural Health Study (AHS) is a prospective study of cancer and other health outcomes in a cohort of licensed pesticide applicators and their spouses from Iowa and North Carolina. The AHS began in 1993 with the goal of answering important questions about how agricultural, lifestyle and genetic factors affect the health of farming populations. The Agricultural Health Study is funded by the National Cancer Institute and the National Institute of Environmental Health Sciences in collaboration with the United States Environmental Protection Agency. The National Institute for Occupational Safety and Health has previously played an important role in the study. More than 89,000 farmers and their spouses in Iowa and North Carolina have participated in the study. Their participation has provided, and continues to provide, the data that researchers need to help the current and future generations of farmers and their families live healthier lives.	DCEG_001	https://dceg.cancer.gov/research/who-we-study/cohorts/agricultural-health-study	Jonathan Hofmann		Division of Cancer Epidemiology & Genetics (DCEG)	8732939;38055050;38055049;36629488;29155945;11805592;12198579;19888312;32168021					Etiology	Multiple Cancer Types	89656		http://aghealth.nih.gov/;https://aghealth.nih.gov/news/publications.html				1993	1997	30	64
dataset	ba4cc04d-c7a9-53c0-a0c9-d78acac8f2fc	DCEG	Alpha-Tocopherol Beta-Carotene Cancer Prevention Study	The Alpha-Tocopherol, Beta-Carotene Cancer Prevention (ATBC) Study was conducted in Finland as a joint project between the National Public Health Institute of Finland and the NCI. The overall design, rationale, objectives, and initial results of this intervention study have been published (Ann Epidemiol 1994 Jan;4(1):1-10). Briefly, this was a randomized, double-blind, placebo-controlled, primary prevention trial to determine whether daily supplementation with alpha-tocopherol, beta-carotene, or both would reduce the incidence of lung or other cancers among male smokers.  A total of 29,133 men between the ages of 50 and 69 years, who smoked at least five cigarettes per day, were recruited from southwestern Finland between 1985 and 1988, and randomly assigned to one of four groups based on a 2x2 factorial design. Men who had prior cancer or serious illness or who reported current use of vitamins E (>20 mg/day), A (>20,000 IU/day), or beta-carotene (>6 mg/day) were ineligible. Participants received either alpha-tocopherol (50 mg/day) as dl-alpha-tocopheryl acetate, beta-carotene (20 mg/day) as all-trans-beta-carotene, both supplements, or placebo capsules for 5 to 8 years (median 6.1 years) until death or trial closure (April 30, 1993).  The study was approved by the institutional review boards of the NCI and the National Public Health Institute of Finland, and written informed consent was obtained from each participant before randomization. Post-intervention follow-up has continued through the Finnish Cancer Registry with cancer data available through 2012 and mortality data through 2013. Analyses based on biospecimens and questionnaire data collected during the parent study are ongoing and focus on the roles of micronutrients, diet, energy balance and growth factors, genetic variants, and other factors in prostate, lung, pancreatic, colorectal, kidney, bladder, upper gastrointestinal, lymphatic, and other cancers.	DCEG_002	http://atbcstudy.cancer.gov/	Demetrius Albanes		Division of Cancer Epidemiology & Genetics (DCEG)	35322169;38268471;36516224;31612201;29889248;29390044;29720370;28878287;28814486;27524818	Z01CP010195				Etiology	Multiple Cancer Types	29133						1985	1988	50	69
dataset	988ede1d-cc1f-5b22-8fff-8616807e469b	DCEG	Chornobyl Tissue Bank (CTB)	The Chornobyl Tissue Bank (CTB) was established in October of 1998 as a resource to collect, document, store, and issue to bona fide researchers, biological samples donated by patients with thyroid tumors who live in the vicinity of the site of the Chornobyl Nuclear Power Plant. The CTB is a unique international cooperation that seeks to establish a collection of biological samples from tumors and normal tissues from patients with a known exposure to radioiodine in childhood.	DCEG_003	https://dceg.cancer.gov/tools/public-data/chornobyl-tissue-bank	Lindsay Morton, PhD		Division of Cancer Epidemiology & Genetics (DCEG)	33888597;33888599	P01CA240239;R01CA222092;U01CA097096				Biorepository	Thyroid Cancer	440		https://chernobyltissuebank.cancer.gov/				1998		10	45
dataset	3ed7e73f-dee5-59bb-8a03-f9c305acb975	DCEG	Confluence Project	The Confluence project will develop a large research resource to uncover breast cancer genetics through genome-wide association studies (GWAS). The resource will include at least 300,000 breast cancer cases and 300,000 controls of different races/ethnicities. This will be accomplished by the confluence of existing GWAS and new genome-wide genotyping data to be generated through this project.	DCEG_004	https://dceg.cancer.gov/research/cancer-types/breast-cancer/confluence-project	Thomas Ahearn		Division of Cancer Epidemiology & Genetics (DCEG)						Etiology	Breast Cancer	315691		https://epidataplatforms.cancer.gov/confluence/#home							
dataset	72abdb6a-38f5-5cf1-a63f-a03023f2af70	DCEG	Costa Rica HPV Vaccine Trial (CVT)	The original Costa Rica Human Papillomavirus (HPV) Vaccine Trial was a collaboration between investigators in Costa Rica (ACIB-FUNIN) and the National Cancer Institute. CVT was a blinded, randomized, phase III clinical trial of the bivalent HPV 16/18 virus-like particle (VLP) vaccine developed by investigators at NCI and other research institutions, and manufactured by GlaxoSmithKline Biologicals. Its aims were to evaluate vaccine efficacy, immunological correlates of long-term vaccine success and failure, and other factors of immunological and etiological interest. The trial was initiated in June 2004 and enrollment of 7,466 women aged 18-25 years was completed in December 2005. Eligible participants were consented and randomized to receive three doses of the HPV 16/18 VLP or Havrix (Hepatitis A) vaccine over a period of six months. At entry and throughout follow-up, women were carefully monitored and received state-of-the-art screening for cervical neoplasia. During the blinded phase, women were followed for four years.	DCEG_005	https://dceg.cancer.gov/research/who-we-study/cohorts/costa-rica-vaccine-trial	Aimee R. Kreimer, PhD		Division of Cancer Epidemiology & Genetics (DCEG)	35709811;32091594;32091596;33271093;22586631;18640170					Clinical Trial	Multiple Cancer Types	7466						2004	2005	18	25
dataset	b770007a-dfc8-56a1-b819-4282cf86beb3	DCEG	GEMShare	North of Iran is part of the 'Asian esophageal cancer belt', which has some of the highest rates of esophageal cancer (EC) in the world. The earliest reports of high incidence of esophageal cancer in the northern parts of Iran date back to the early 1970s. A population-based cancer registry established in 1969 confirmed the high incidence of the cancer in the eastern portion of the Caspian Sea littoral, in the area which is now known as Golestan Province. The highest incidence rates were reported from the semi-desert plain settled mainly by people of Turkmen ethnicity in Gonbad and Kalaleh counties. A series of studies was conducted in the region in the 1970s, but was not conclusive in explaining the very high rates.  Etiological hypotheses related to diet and lifestyle can be best addressed in prospective cohort studies, in which measurement error can be reduced and recall bias is minimal. From 2002 to 2003, a pilot study of 1,057 subjects was conducted by the Digestive Disease Research Center (DDRC), Tehran University of Medical Sciences, in collaboration with the Mount Sinai School of Medicine, National Cancer Institute (NCI), and International Agency for Research on Cancer (IARC), to evaluate the logistical aspects of establishing a prospective study in Golestan. Subsequently, the Golestan Cohort Study (GCS) was launched in January 2004. The study protocol and the informed consent used for this study were approved by the relevant ethical review committees. In June 2008, the accrual goal of 50,000 subjects was reached and enrollment was closed. Yearly follow-up and linkage to local cancer registry is ongoing; repeated exposure assessments were conducted for about 20% of the cohort in 2012 and 2017.  The primary aims of the GCS are to: Identify risk factors for a number of outcomes by a comprehensive assessment of ethnicity; occupational history; socioeconomic status; past medical history; family history of cancers; gastrointestinal symptoms and signs; tobacco, opium and alcohol use; oral health; anthropometric characteristics; physical activity; and tea drinking habits, including tea temperature. These outcomes include (but are not limited to): upper GI (esophageal and gastric) cancers; other cancers; overall and cause-specific mortality; other common chronic disease, such as ischemic heart disease. Establish biospecimen banks for blood, urine, hair, and nail samples to be used in molecular and genetic studies of cross-sectional or nested case-control design. Provide a model for population-based studies in a country in economic and social transition based on collaboration between local health workers, local health authorities, national research centers, the national government, and international research institutions.	DCEG_006	https://dceg2.cancer.gov/gemshare/	Arash Etemadi, Christian Abnet, Farin Kamangar, Paolo Boffetta, Paul Brennan, Reza Malekzadeh		Division of Cancer Epidemiology & Genetics (DCEG)	19800783;27957288					Etiology	Esophageal Cancer	50045						2004	2008	40	75
dataset	5906b8ed-d765-5c83-88ec-05d5a05c1d18	DCEG	Get the Facts about Exposure to I-131 Radiation	Information and resources for Americans exposed to I-131 (a form of radioactive iodine) through fallout from above-ground nuclear testing in the 1950s and early 60s.	DCEG_007	https://www.cancer.gov/about-cancer/causes-prevention/risk/radiation/i-131	Not Reported		Division of Cancer Epidemiology & Genetics (DCEG)						Etiology	Thyroid Cancer			https://www.cancer.gov/types/thyroid;https://radiationcalculators.cancer.gov/fallout							
dataset	6d6ae451-886d-59ec-8f39-da9fda9c1086	DCEG	Glycemic Index Values Database	Database that provides glycemic index values for common foods. Glycemic load can be calculated for each portion size of food consumed using these numbers.	DCEG_008	https://epi.grants.cancer.gov/dhq/database/#gl	Andrew Flood		Division of Cancer Epidemiology & Genetics (DCEG)	16503230;10933275;12081815					Database	Diabetes										
dataset	1c48e26c-bc85-5fa1-851f-b32d612e1b0a	DCEG	NCI Cancer Atlas	NCI Cancer Atlas is a mapping tool designed to provide visualization of national cancer data. The tool enables users to create maps of cancer statistics, demographics, and risk factors for use in research. The Atlas was expanded with cancer mortality data previously available through the legacy Cancer Mortality Maps application. 	DCEG_009	https://gis.cancer.gov/canceratlas/	Not Reported		Division of Cancer Epidemiology & Genetics (DCEG)						Geographical	Multiple Cancer Types										
dataset	71ef6b15-dcdd-5303-928f-40382b2c65fe	DCEG	NHANES 2011-2014 Sleep Data	The released data, 'NHANES Preliminary Day Level Output', consists of various sleep metrics that were generated using accelerometer data from the 2011-2014 National Health and Nutrition Examination Survey. Data was processed using the open-source R package GGIR.	DCEG_010	https://www.datalumos.org/datalumos/project/240826/version/V3/view	Charles E. Matthews, PhD		Division of Cancer Epidemiology & Genetics (DCEG)	41266158					Etiology	Sleep Health	13656						2011	2014	3	80
