program_1,program_2,shared_project_count
OncologyModelsForumU24,AllofUs,6
CONSORTIUMFORPANCREATICDUCTALADENOCARCINOMAPDACTRANSLATIONALSTUDIES,PancreaticCancerMicroenvironmentNetwork,6
CancerSystemsBiologyConsortiumCSBC,AllofUs,6
AllofUs,PediatricPreclinicalinVivoTestingPIVOT,5
FusionOncoproteinsinChildhoodCancersFusOnc2,AllofUs,5
HumanTumorAtlasNetwork,AllofUs,5
CancerImmunologicDataCommons,CANCERIMMUNEMONITORINGANDANALYSISCENTERS,4
AllofUs,BarrettsEsophagusTranslationalResearchNetworkBETRNet,4
HIVAssociatedMalignancyResearchCenters,AllofUs,3
AllofUs,ADVANCEDDEVELOPMENTOFINFORMATICSTECHNOLOGIESFORCANCERRESEARCHANDMANAGEMENT,2
CellularCancerBiologyImagingResearch,AllofUs,2
ChildhoodCancerSurvivorStudy,AllofUs,1
AllofUs,TheAdjuvantLungCancerEnrichmentMarkerIdentificationandSequencingTrialsALCHEMIST,1
CancerImmunologicDataCommons,AllofUs,1
CellularSenescenceNetwork,AllofUs,1
PancreaticCancerMicroenvironmentNetwork,AllofUs,1
AcquiredResistancetoTherapyNetworkARTNet,AllofUs,1
CONSORTIUMFORPANCREATICDUCTALADENOCARCINOMAPDACTRANSLATIONALSTUDIES,AllofUs,1
AllofUs,ADMIRALStudyAdmixtureanalysisofacutelymphoblasticleukemiainAfricanAmericanchildren,1
SPOREinBreastCancer,AllofUs,1
